رقم التكليف,Transformer_id,تاريخ القياس,نظام القياس ,اسم_المحول,اتجاه السكينة,قدرة_السكينة,قياس التيار R,قياس التيار S,قياس التيار T,قياس التيار N,الجهد بين الفازات RS,الجهد بين الفازات RT,الجهد بين الفازات ST,الجهد بين الفازات RN,الجهد بين الفازات SN,الجهد بين الفازات TN
282,28,14/01/2023,شتوي,الحكر - السويركي,شرقي,400,0,0,0,0,400,400,400,230,230,230
283,28,14/01/2023,شتوي,الحكر - السويركي,غربي,400,3,23,12,17,400,400,400,230,230,230
284,28,14/01/2023,شتوي,الحكر - السويركي,جنوبي,400,225,404,277,0,400,400,400,230,230,230
285,28,14/01/2023,شتوي,الحكر - السويركي,غربي اضافية,400,30,71,105,0,400,400,400,230,230,230
291,29,22/01/2023,شتوي,السلام,شمالي,400,400,431,321,99,400,400,400,230,230,230
301,30,14/01/2023,شتوي,السلقاوي,شمالي,400,223,143,203,68,400,400,400,230,230,230
302,30,14/01/2023,شتوي,السلقاوي,شرقي,400,143,198,124,79,400,400,400,230,230,230
303,30,14/01/2023,شتوي,السلقاوي,جنوبي,400,170,140,17,0,400,400,400,230,230,230
311,31,16/01/2023,شتوي,الشارع التجاري,شمالي,400,50,67,89,34,400,400,400,230,230,230
312,31,16/01/2023,شتوي,الشارع التجاري,شرقي,400,70,123,59,66,400,400,400,230,230,230
313,31,16/01/2023,شتوي,الشارع التجاري,غربي,400,33,60,18,30,400,400,400,230,230,230
314,31,16/01/2023,شتوي,الشارع التجاري,جنوبي,400,68,83,132,62,400,400,400,230,230,230
321,32,16/01/2023,شتوي,المحطة - ابو مصبح,لوحة سكادا ض.م,400,341,423,166,0,400,400,400,230,230,230
331,33,14/01/2023,شتوي,المدرسة الصناعية,شرقي,400,0,0,0,0,400,400,400,230,230,230
332,33,14/01/2023,شتوي,المدرسة الصناعية,غربي,400,78,137,103,38,400,400,400,230,230,230
341,34,14/01/2023,شتوي,المزرعة,شمالي,400,81,127,150,107,400,400,400,230,230,230
342,34,14/01/2023,شتوي,المزرعة,شرقي,400,60,70,58,0,400,400,400,230,230,230
343,34,14/01/2023,شتوي,المزرعة,غربي,400,50,152,261,0,400,400,400,230,230,230
344,34,14/01/2023,شتوي,المزرعة,جنوبي,400,80,124,156,66,400,400,400,230,230,230
351,35,14/01/2023,شتوي,المشاعلة,شمالي,400,287,84,133,0,400,400,400,230,230,230
352,35,14/01/2023,شتوي,المشاعلة,شرقي,400,198,166,140,45,400,400,400,230,230,230
353,35,14/01/2023,شتوي,المشاعلة,غربي,400,137,50,31,0,400,400,400,230,230,230
354,35,14/01/2023,شتوي,المشاعلة,جنوبي,400,114,139,91,60,400,400,400,230,230,230
361,36,16/01/2023,شتوي,النجار (البصة) جامع الرباط,شمالي,400,70,77,157,71,400,400,400,230,230,230
362,36,16/01/2023,شتوي,النجار (البصة) جامع الرباط,غربي,400,7,4,2,2,400,400,400,230,230,230
363,36,16/01/2023,شتوي,النجار (البصة) جامع الرباط,جنوبي,400,158,154,110,88,400,400,400,230,230,230
364,37,16/01/2023,شتوي,النخالة,شمالي,400,90,85,39,44,400,400,400,230,230,230
365,37,16/01/2023,شتوي,النخالة,شرقي,400,8,36,41,36,400,400,400,230,230,230
366,37,16/01/2023,شتوي,النخالة,غربي,400,11,44,10,20,400,400,400,230,230,230
371,37,16/01/2023,شتوي,النخالة,جنوبي,400,85,8,49,66,400,400,400,230,230,230
372,38,2/8/2023,صيفي,الهباش,شمالي,400,21,40,35,0,390,385,390,225,228,228
373,38,2/8/2023,صيفي,الهباش,غربي,400,70,112,50,0,390,385,390,225,228,225
374,38,2/8/2023,صيفي,الهباش,جنوبي,400,45,60,40,0,390,385,390,225,228,225
381,38,2/8/2023,صيفي,الهباش,غربي اضافية,630,135,150,93,0,390,385,390,225,228,225
391,39,16/01/2023,شتوي,أبو عريف 1,لوحة سكادا ض.م,400,311,470,421,0,400,400,400,230,230,230
411,41,16/01/2023,شتوي,أبوعريف 2,لوحة سكادا ض.م,400,490,393,469,0,400,400,400,230,230,230
401,40,9/7/2023,صيفي,ابو فياض,شمالي,630,77,55,47,30,400,400,400,230,230,230
402,40,9/7/2023,صيفي,ابو فياض,شرقي,400,73,71,85,25,400,400,400,230,230,230
403,40,9/7/2023,صيفي,ابو فياض,جنوبي,630,116,118,107,40,400,400,400,230,230,230
424,42,22/01/2023,شتوي,بابور الطحين,شمالي,400,242,190,205,66,400,400,400,230,230,230
421,42,22/01/2023,شتوي,بابور الطحين,شرقي,400,89,66,116,0,400,400,400,230,230,230
422,42,22/01/2023,شتوي,بابور الطحين,غربي,400,22,30,10,0,400,400,400,230,230,230
423,42,22/01/2023,شتوي,بابور الطحين,جنوبي,400,55,27,41,0,400,400,400,230,230,230
432,43,16/01/2023,شتوي,برج ابو سمرة ارضي,1,400,34,20,10,25,400,400,400,230,230,230
433,43,16/01/2023,شتوي,برج ابو سمرة ارضي,2,400,30,34,50,10,400,400,400,230,230,230
441,43,16/01/2023,شتوي,برج ابو سمرة ارضي,3,400,20,27,55,38,400,400,400,230,230,230
441,44,17/01/2023,شتوي,برج فلسطين 2+3,شمالي,400,4,2,1,5,400,400,400,230,230,230
442,44,17/01/2023,شتوي,برج فلسطين 2+3,شرقي,400,182,215,189,46,400,400,400,230,230,230
443,44,17/01/2023,شتوي,برج فلسطين 2+3,غربي,400,36,49,49,18,400,400,400,230,230,230
444,44,17/01/2023,شتوي,برج فلسطين 2+3,جنوبي,400,202,215,144,69,400,400,400,230,230,230
451,45,16/01/2023,شتوي,برج ماضي,شمالي,400,269,225,271,55,400,400,400,230,230,230
461,46,14/01/2023,شتوي,بلاستيكو,شمالي,400,66,8,102,0,400,400,400,230,230,230
462,46,14/01/2023,شتوي,بلاستيكو,غربي,400,77,84,78,0,400,400,400,230,230,230
463,46,14/01/2023,شتوي,بلاستيكو,جنوبي,400,170,158,99,0,400,400,400,230,230,230
471,47,2/2/2023,شتوي,بنك فلسطين - دير البلح,شمالي,400,38,27,33,9,400,400,400,230,230,230
472,47,2/2/2023,شتوي,بنك فلسطين - دير البلح,شرقي,400,0,0,0,0,400,400,400,230,230,230
481,48,14/01/2023,شتوي,بئر مياه دير البلح 4,شمالي,400,58,60,88,0,400,400,400,230,230,230
482,48,14/01/2023,شتوي,بئر مياه دير البلح 4,شرقي,400,22,22,22,22,400,400,400,230,230,230
491,49,14/01/2023,شتوي,بئر مياه دير البلح 5,شمالي,400,42,38,35,5,400,400,400,230,230,230
492,49,14/01/2023,شتوي,بئر مياه دير البلح 5,شرقي,400,12,4,9,0,400,400,400,230,230,230
493,49,14/01/2023,شتوي,بئر مياه دير البلح 5,غربي,400,38,31,30,0,400,400,400,230,230,230
501,50,12/2/2023,شتوي,بئر مياه دير البلح 6,غربي,400,46,48,44,6,400,400,400,230,230,230
502,50,12/2/2023,شتوي,بئر مياه دير البلح 6,شرقي,400,47,11,12,11,400,400,400,230,230,230
503,50,12/2/2023,شتوي,بئر مياه دير البلح 6,جنوبي,400,12,11,47,22,400,400,400,230,230,230
521,51,16/01/2023,شتوي,تحلية البصة - ارضي,1,400,605,544,508,0,400,400,400,230,230,230
522,52,16/01/2023,شتوي,تحلية البصة - هوائي,شمالي,400,0,0,0,0,400,400,400,230,230,230
531,52,16/01/2023,شتوي,تحلية البصة - هوائي,1,400,220,236,181,0,400,400,400,230,230,230
541,53,12/2/2023,شتوي,تحلية مياة البركة - دير البلح,1,1600,"1,839.00","1,839.00","1,840.00",33,400,400,400,230,230,230
542,54,14/01/2023,شتوي,جامع الفرقان,شمالي,400,253,349,149,156,400,400,400,230,230,230
543,54,14/01/2023,شتوي,جامع الفرقان,شرقي,400,93,100,50,49,400,400,400,230,230,230
551,54,14/01/2023,شتوي,جامع الفرقان,جنوبي,400,58,68,101,55,400,400,400,230,230,230
552,55,4/9/2023,صيفي,جامع الفرقان الشرقي,شرقي,630,0,0,2,2,394,393,394,225,226,225
561,55,4/9/2023,صيفي,جامع الفرقان الشرقي,غربي,630,0,0,3,4,394,393,394,225,226,225
562,56,20/08/2023,صيفي,جامع عباد الرحمن - معسكر دير البلح,شمالي,630,115,140,125,15,385,385,385,225,225,225
563,56,20/08/2023,صيفي,جامع عباد الرحمن - معسكر دير البلح,شرقي,630,90,145,145,0,385,385,385,225,225,225
564,56,20/08/2023,صيفي,جامع عباد الرحمن - معسكر دير البلح,غربي,630,15,45,20,0,385,385,385,225,225,225
571,56,20/08/2023,صيفي,جامع عباد الرحمن - معسكر دير البلح,جنوبي,630,55,75,72,40,385,385,385,225,225,225
572,57,16/01/2023,شتوي,جمعية الصلاح - دير البلح,شمالي,400,110,126,192,0,400,400,400,230,230,230
573,57,16/01/2023,شتوي,جمعية الصلاح - دير البلح,شرقي,400,68,124,137,62,400,400,400,230,230,230
574,57,16/01/2023,شتوي,جمعية الصلاح - دير البلح,غربي,400,165,115,126,49,400,400,400,230,230,230
581,57,16/01/2023,شتوي,جمعية الصلاح - دير البلح,جنوبي,400,18,8,38,0,400,400,400,230,230,230
582,58,14/01/2023,شتوي,حارة برغوث - الراعي,شمالي,400,135,220,159,77,400,400,400,230,230,230
583,58,14/01/2023,شتوي,حارة برغوث - الراعي,شرقي,400,40,47,60,17,400,400,400,230,230,230
584,58,14/01/2023,شتوي,حارة برغوث - الراعي,غربي,400,8,14,6,11,400,400,400,230,230,230
591,58,14/01/2023,شتوي,حارة برغوث - الراعي,جنوبي,400,158,99,165,40,400,400,400,230,230,230
592,59,16/01/2023,شتوي,خزان الاقصى,جنوبي,400,85,83,100,4,400,400,400,230,230,230
601,59,16/01/2023,شتوي,خزان الاقصى,لوحة سكادا ض.م,400,236,154,199,66,400,400,400,230,230,230
611,60,12/2/2023,شتوي,خزان البركة,شرقي,400,165,128,157,9,400,400,400,230,230,230
611,61,14/01/2023,شتوي,رنق البخاري,شمالي,400,282,192,203,88,400,400,400,230,230,230
612,61,14/01/2023,شتوي,رنق البخاري,غربي,400,82,143,93,56,400,400,400,230,230,230
613,61,14/01/2023,شتوي,رنق البخاري,جنوبي,400,90,95,99,49,400,400,400,230,230,230
621,62,14/01/2023,شتوي,رنق المشاعلة,غربي,400,51,50,31,25,400,400,400,230,230,230
622,62,14/01/2023,شتوي,رنق المشاعلة,جنوبي,400,49,105,172,106,400,400,400,230,230,230
631,63,22/01/2023,شتوي,زكريا,شرقي,400,135,200,116,86,400,400,400,230,230,230
632,63,22/01/2023,شتوي,زكريا,غربي,400,192,165,253,88,400,400,400,230,230,230
633,63,22/01/2023,شتوي,زكريا,شمالي,400,154,128,96,0,400,400,400,230,230,230
634,63,16/01/2023,شتوي,زكريا,جنوبي,400,88,49,47,0,400,400,400,230,230,230
641,64,16/01/2023,شتوي,ساهر الاعور,سكينة انارة,400,132,166,123,0,400,400,400,230,230,230
651,65,16/01/2023,شتوي,سلمان,شمالي,400,11,49,11,40,400,400,400,230,230,230
652,65,16/01/2023,شتوي,سلمان,غربي,400,91,79,104,19,400,400,400,230,230,230
653,65,16/01/2023,شتوي,سلمان,جنوبي,400,154,61,67,93,400,400,400,230,230,230
661,66,16/01/2023,شتوي,شارع العزايزة,شمالي,400,198,245,77,138,400,400,400,230,230,230
662,66,16/01/2023,شتوي,شارع العزايزة,شرقي,400,66,88,60,33,400,400,400,230,230,230
663,66,16/01/2023,شتوي,شارع العزايزة,جنوبي,400,66,24,55,36,400,400,400,230,230,230
671,67,14/01/2023,شتوي,صبري,شمالي,400,6,15,8,0,400,400,400,230,230,230
672,67,14/01/2023,شتوي,صبري,شرقي,400,148,181,220,61,400,400,400,230,230,230
673,67,14/01/2023,شتوي,صبري,غربي,400,147,176,126,57,400,400,400,230,230,230
674,67,14/01/2023,شتوي,صبري,جنوبي,400,13,11,37,26,400,400,400,230,230,230
681,68,14/01/2023,شتوي,عاهد اللحام,شرقي,400,132,124,242,115,400,400,400,230,230,230
682,68,14/01/2023,شتوي,عاهد اللحام,غربي,400,41,92,90,41,400,400,400,230,230,230
683,68,14/01/2023,شتوي,عاهد اللحام,جنوبي,400,202,183,179,38,400,400,400,230,230,230
691,69,14/01/2023,شتوي,عدلي,شمالي,400,214,224,205,0,400,400,400,230,230,230
692,69,14/01/2023,شتوي,عدلي,شرقي,400,13,5,2,0,400,400,400,230,230,230
693,69,14/01/2023,شتوي,عدلي,غربي,400,187,264,272,87,400,400,400,230,230,230
694,69,14/01/2023,شتوي,عدلي,جنوبي,400,19,36,77,0,400,400,400,230,230,230
701,70,16/01/2023,شتوي,عمارة دلول - عكيلة,شرقي,400,132,156,92,55,400,400,400,230,230,230
702,70,16/01/2023,شتوي,عمارة دلول - عكيلة,غربي,400,24,37,12,22,400,400,400,230,230,230
703,70,16/01/2023,شتوي,عمارة دلول - عكيلة,جنوبي,400,0,0,0,0,400,400,400,230,230,230
711,71,22/01/2023,شتوي,عمارة صيام - دير البلح,شمالي,400,110,88,88,0,400,400,400,230,230,230
712,71,22/01/2023,شتوي,عمارة صيام - دير البلح,شرقي,400,133,66,151,74,400,400,400,230,230,230
713,71,22/01/2023,شتوي,عمارة صيام - دير البلح,غربي,400,49,44,26,22,400,400,400,230,230,230
714,71,22/01/2023,شتوي,عمارة صيام - دير البلح,جنوبي,400,18,14,13,6,400,400,400,230,230,230
721,72,16/01/2023,شتوي,عيادة الوكالة - دير البلح ,شمالي,400,55,3,6,46,400,400,400,230,230,230
722,72,16/01/2023,شتوي,عيادة الوكالة - دير البلح ,غربي,400,189,113,105,81,400,400,400,230,230,230
731,73,14/01/2023,شتوي,فقاسة صافي ,غربي,400,61,62,95,23,400,400,400,230,230,230
741,74,14/01/2023,شتوي,فقاسة عفانة,جنوبي,0,0,0,0,0,400,400,400,230,230,230
751,75,14/01/2023,شتوي,قصر ابو سليم,شمالي,400,193,149,230,81,400,400,400,230,230,230
752,75,14/01/2023,شتوي,قصر ابو سليم,شرقي,400,129,138,130,55,400,400,400,230,230,230
753,75,14/01/2023,شتوي,قصر ابو سليم,جنوبي,400,133,78,105,46,400,400,400,230,230,230
761,76,14/01/2023,شتوي,قوات ال17,شرقي,400,165,160,159,47,400,400,400,230,230,230
762,76,14/01/2023,شتوي,قوات ال17,غربي,400,222,203,207,45,400,400,400,230,230,230
771,77,16/01/2023,شتوي,كلية فلسطين التقنية - خاص,شرقي إضافية,400,27,24,39,30,400,400,400,230,230,230
781,78,16/01/2023,شتوي,كلية فلسطين التقنية - سكان,شمالي,400,198,195,239,0,400,400,400,230,230,230
782,78,16/01/2023,شتوي,كلية فلسطين التقنية - سكان,غربي,400,253,188,165,0,400,400,400,230,230,230
783,78,16/01/2023,شتوي,كلية فلسطين التقنية - سكان,جنوبي,400,57,55,165,0,400,400,400,230,230,230
791,79,14/01/2023,شتوي,محطة غاز ابو سليم,شمالي,400,172,88,169,83,400,400,400,230,230,230
792,79,14/01/2023,شتوي,محطة غاز ابو سليم,غربي,400,3,2,41,41,400,400,400,230,230,230
793,79,14/01/2023,شتوي,محطة غاز ابو سليم,جنوبي,400,10,30,45,0,400,400,400,230,230,230
801,80,22/01/2023,شتوي,محلات عكاشة ,شرقي,400,26,38,38,18,400,400,400,230,230,230
802,80,22/01/2023,شتوي,محلات عكاشة ,غربي,400,55,167,108,91,400,400,400,230,230,230
811,81,22/01/2023,شتوي,مخبز الهداية,شرقي,400,55,79,49,37,400,400,400,230,230,230
812,81,22/01/2023,شتوي,مخبز الهداية,غربي,400,90,61,61,56,400,400,400,230,230,230
813,81,22/01/2023,شتوي,مخبز الهداية,جنوبي,400,110,95,74,33,400,400,400,230,230,230
821,82,16/01/2023,شتوي,مدارس المعسكر - دير البلح,شرقي,400,247,92,72,159,400,400,400,230,230,230
822,82,16/01/2023,شتوي,مدارس المعسكر - دير البلح,غربي,400,104,198,125,82,400,400,400,230,230,230
823,82,16/01/2023,شتوي,مدارس المعسكر - دير البلح,جنوبي,400,133,203,123,88,400,400,400,230,230,230
831,83,16/01/2023,شتوي,مدخل البصة,شمالي,400,101,134,33,84,400,400,400,230,230,230
832,83,16/01/2023,شتوي,مدخل البصة,شرقي,400,55,22,55,16,400,400,400,230,230,230
833,83,16/01/2023,شتوي,مدخل البصة,جنوبي,400,157,74,78,74,400,400,400,230,230,230
841,84,12/2/2023,شتوي,مدرسة شهداء دير البلح ,شمالي,400,36,44,73,33,400,400,400,230,230,230
842,84,12/2/2023,شتوي,مدرسة شهداء دير البلح ,شرقي,400,9,41,15,29,400,400,400,230,230,230
843,84,12/2/2023,شتوي,مدرسة شهداء دير البلح ,غربي,400,50,59,67,28,400,400,400,230,230,230
851,85,22/01/2023,شتوي,مركز يافا,شمالي,400,115,192,126,86,400,400,400,230,230,230
852,85,22/01/2023,شتوي,مركز يافا,شرقي,400,0,0,0,0,400,400,400,230,230,230
861,86,16/01/2023,شتوي,مستشفى الاقصى,شرقي,400,55,8,36,30,400,400,400,230,230,230
871,87,16/01/2023,شتوي,مستشفى الاقصى ارضي - الولادة,1,1600,302,363,387,0,400,400,400,230,230,230
881,88,22/01/2023,شتوي,مسجد السلام ,شمالي,400,198,181,278,121,400,400,400,230,230,230
882,88,22/01/2023,شتوي,مسجد السلام ,جنوبي,400,88,308,89,122,400,400,400,230,230,230
891,89,12/1/2023,شتوي,مصنع ابو سلطان - خاص,جنوبي,400,33,42,55,0,400,400,400,230,230,230
911,91,14/01/2023,شتوي,مضخة مجاري البركة,شمالي,400,4,5,5,5,400,400,400,230,230,230
912,91,14/01/2023,شتوي,مضخة مجاري البركة,شرقي,400,166,99,63,82,400,400,400,230,230,230
921,92,16/01/2023,شتوي,نادي الخدمات - دير البلح,شمالي,400,128,143,209,111,400,400,400,230,230,230
922,92,16/01/2023,شتوي,نادي الخدمات - دير البلح,شرقي,400,100,45,148,0,400,400,400,230,230,230
923,92,16/01/2023,شتوي,نادي الخدمات - دير البلح,غربي,400,1,9,22,6,400,400,400,230,230,230
924,92,16/01/2023,شتوي,نادي الخدمات - دير البلح,جنوبي,400,77,27,93,0,400,400,400,230,230,230
931,93,22/01/2023,شتوي,يافا سكان,شمالي,400,55,68,39,0,400,400,400,230,230,230
932,93,19/07/2023,صيفي,يافا سكان,شرقي,630,8,6,2,0,370,373,375,214,214,214
933,93,22/01/2023,شتوي,يافا سكان,غربي,400,35,44,81,35,400,400,400,230,230,230
934,93,22/01/2023,شتوي,يافا سكان,جنوبي,400,26,13,22,11,400,400,400,230,230,230
941,94,16/01/2023,شتوي,الشيخ داوود,شمالي,400,209,121,60,124,400,400,400,230,230,230
942,94,16/01/2023,شتوي,الشيخ داوود,شرقي,400,110,24,30,66,400,400,400,230,230,230
943,94,16/01/2023,شتوي,الشيخ داوود,غربي,400,18,33,48,27,400,400,400,230,230,230
944,94,16/01/2023,شتوي,الشيخ داوود,جنوبي,400,104,99,93,17,400,400,400,230,230,230
